date,data
19991018,0.000824917955483533
19991019,-0.000186181890545283
19991020,-0.00145671009183168
19991021,0.00093650974835556
19991022,0.00003600339462081
19991025,-0.00105676910347316
19991026,0.000166420776076335
19991027,-0.000179811360338572
19991028,0.00107162201153291
19991029,0.00217262883476099
19991101,-0.000359797368671279
19991102,0.000343321673265006
19991103,0.000487739693278037
19991104,0.00158987245053031
19991105,0.000838152731140703
19991108,-0.00031969160186803
19991109,-0.000798841568985302
19991110,-0.00126484281288413
19991111,0.000167444628846012
19991112,0.000716387502893414
19991115,0.000249463225946091
19991116,0.000334949710822608
19991117,-0.00191310541333033
19991118,-0.000063391381582674
19991119,-0.000545492382226828
19991122,-0.00066217340220442
19991123,0.000251132104036603
19991124,-0.000583193648891617
19991125,-0.000203165068175606
19991126,-0.000440762203071155
