date,coupon,price
19960308,8,101.5559668
19960308,8.5,103.1217871
19960308,9,104.498125
19960308,9.5,106.6848535
19960311,5.5,89.38
19960311,6,92.51148438
19960311,6.5,95.07828125
19960311,7,97.57445313
19960311,7.5,99.855625
19960311,8,101.7971094
19960311,8.5,103.2754688
19960311,9,104.6546094
19960311,9.5,106.9925
19960312,5.5,89.25
19960312,6,92.353125
19960312,6.5,94.94648438
19960312,7,97.47050781
19960312,7.5,99.75712891
19960312,8,101.7547852
19960312,8.5,103.2642578
19960312,9,104.6467773
19960312,9.5,106.930625
19960313,5.5,89.28
19960313,6,92.37988281
19960313,6.5,94.97410156
19960313,7,97.49949219
19960313,7.5,99.81175781
19960313,8,101.8145703
19960313,8.5,103.3542578
19960313,9,104.7099609
19960313,9.5,106.92875
19960314,5.5,89.31
19960314,6,92.37876953
19960314,6.5,94.99761719
19960314,7,97.5253125
19960314,7.5,99.89976563
19960314,8,101.9030469
19960314,8.5,103.4763477
19960314,9,104.8263867
19960314,9.5,106.926875
19960315,5.5,88.69
19960315,6,91.71875
19960315,6.5,94.40234375
19960315,7,96.98828125
19960315,7.5,99.421875
19960315,8,101.4760938
19960315,8.5,103.1914063
19960315,9,104.6321875
19960315,9.5,106.6675781
19960318,5.5,88.78
19960318,6,91.78027344
19960318,6.5,94.45767578
19960318,7,97.04025391
19960318,7.5,99.47302734
19960318,8,101.5402539
19960318,8.5,103.2697461
19960318,9,104.7233594
19960318,9.5,106.8559375
19960319,5.5,88.78
19960319,6,91.92867188
19960319,6.5,94.59765625
19960319,7,97.15382813
19960319,7.5,99.58617188
19960319,8,101.5974219
19960319,8.5,103.3335156
19960319,9,104.7519531
19960319,9.5,106.7875
19960320,5.5,89
19960320,6,92.38162109
19960320,6.5,94.98097656
19960320,7,97.52443359
19960320,7.5,99.89232422
19960320,8,101.8054297
19960320,8.5,103.4809766
19960320,9,104.8755273
19960320,9.5,106.8515625
19960321,5.5,89.31
19960321,6,92.71609375
19960321,6.5,95.30691406
19960321,7,97.76910156
19960321,7.5,100.1054688
19960321,8,101.9815625
19960321,8.5,103.6010156
19960321,9,104.9595313
19960321,9.5,106.849375
19960322,5.5,89.16
19960322,6,92.57275391
19960322,6.5,95.12158203
19960322,7,97.60693359
19960322,7.5,99.94335938
19960322,8,101.8496094
19960322,8.5,103.5112305
19960322,9,104.9018555
19960322,9.5,106.7651465
19960325,5.5,89.63
19960325,6,93.00976563
19960325,6.5,95.54589844
19960325,7,97.99777344
19960325,7.5,100.2477734
19960325,8,102.0680078
19960325,8.5,103.6385938
19960325,9,105.0182031
19960325,9.5,106.90625
19960326,5.5,89.63
19960326,6,93.02880859
19960326,6.5,95.54150391
19960326,7,97.99244141
19960326,7.5,100.2335352
19960326,8,102.0631055
19960326,8.5,103.6341406
19960326,9,105.0157422
19960326,9.5,106.904375
19960327,5.5,89.63
19960327,6,92.41132813
19960327,6.5,94.95390625
19960327,7,97.45625
19960327,7.5,99.73710938
19960327,8,101.7035156
19960327,8.5,103.3988281
19960327,9,104.8777344
19960327,9.5,106.83625
19960328,5.5,89.16
19960328,6,91.88671875
19960328,6.5,94.45953125
19960328,7,96.98095703
19960328,7.5,99.34570313
19960328,8,101.418457
19960328,8.5,103.1784961
19960328,9,104.6679688
19960328,9.5,106.5916113
19960329,5.5,89.66
19960329,6,92.3515625
19960329,6.5,94.89257813
19960329,7,97.37109375
19960329,7.5,99.68359375
19960329,8,101.6835938
19960329,8.5,103.3925781
19960329,9,104.8515625
19960329,9.5,106.6517773
19960401,5.5,89.78
19960401,6,92.55810547
19960401,6.5,95.06494141
19960401,7,97.47949219
19960401,7.5,99.76025391
19960401,8,101.7719727
19960401,8.5,103.465332
19960401,9,104.9628906
19960401,9.5,106.8253125
19960402,5.5,90.25
19960402,6,92.98632813
19960402,6.5,95.46144531
19960402,7,97.85296875
19960402,7.5,100.0658984
19960402,8,102.0351563
19960402,8.5,103.6192188
19960402,9,105.07625
19960402,9.5,106.89125
19960403,5.5,90.19
19960403,6,92.94542969
19960403,6.5,95.47615234
19960403,7,97.84074219
19960403,7.5,100.0468359
19960403,8,101.9805078
19960403,8.5,103.567793
19960403,9,105.0924414
19960403,9.5,106.889375
19960404,5.5,90.03
19960404,6,92.541875
19960404,6.5,95.09015625
19960404,7,97.5234375
19960404,7.5,99.77734375
19960404,8,101.7734375
19960404,8.5,103.5195313
19960404,9,105.1076563
19960404,9.5,106.7575
19960408,5.5,88.25
19960408,6,90.749375
19960408,6.5,93.3925
19960408,7,95.984375
19960408,7.5,98.45375
19960408,8,100.658125
19960408,8.5,102.643125
19960408,9,104.591875
19960408,9.5,106.31
19960409,5.5,88.59
19960409,6,91.10826613
19960409,6.5,93.77673387
19960409,7,96.37241935
19960409,7.5,98.80540323
19960409,8,100.9642339
19960409,8.5,102.8743548
19960409,9,104.6253226
19960409,9.5,106.3080645
19960410,5.5,88.38
19960410,6,90.80477823
19960410,6.5,93.49225806
19960410,7,96.11733871
19960410,7.5,98.58014113
19960410,8,100.7562903
19960410,8.5,102.6385282
19960410,9,104.374496
19960410,9.5,106.276129
19960411,5.5,88
19960411,6,90.4883871
19960411,6.5,93.20685484
19960411,7,95.89282258
19960411,7.5,98.38991935
19960411,8,100.5607258
19960411,8.5,102.4291935
19960411,9,104.2300806
19960411,9.5,106.1532258
19960412,5.5,89
19960412,6,91.5128629
19960412,6.5,94.20044355
19960412,7,96.77502016
19960412,7.5,99.16229839
19960412,8,101.1652419
19960412,8.5,102.8724798
19960412,9,104.6108065
19960412,9.5,106.4818851
19960415,5.5,89.25
19960415,6,91.74215726
19960415,6.5,94.43332661
19960415,7,96.98510081
19960415,7.5,99.35375
19960415,8,101.3295565
19960415,8.5,102.9721976
19960415,9,104.6668952
19960415,9.5,106.4864516
19960416,5.5,89.31
19960416,6,91.7183871
