date,Price,Duration,Return
2011-07-28,124.5,5.80893,0.0026562500000000266
2011-07-29,125.6875,5.818219999999999,0.01187500000000008
2011-08-01,126.14062,5.82167,0.004531250000000098
2011-08-02,126.95312,5.82771,0.008124999999999938
2011-08-03,127.04688,5.82833,0.0009375000000000355
2011-08-04,128.0,5.83558,0.009531249999999991
2011-08-05,127.04688,5.82848,-0.009531249999999991
2011-08-08,128.57811999999998,5.83979,0.015312500000000062
2011-08-09,129.82811999999998,5.848990000000001,0.012499999999999956
2011-08-10,130.0625,5.85076,0.002343750000000089
2011-08-11,129.21875,5.84428,-0.008437500000000098
2011-08-12,129.875,5.84936,0.006562500000000027
2011-08-15,129.5625,5.847119999999999,-0.0031250000000000444
2011-08-16,130.07811999999998,5.85096,0.005156249999999973
2011-08-17,130.35938000000002,5.8529800000000005,0.0028125000000001066
2011-08-18,130.78125,5.8560099999999995,0.004218749999999938
2011-08-19,130.79688000000002,5.856269999999999,0.00015625000000007994
2011-08-22,130.59375,5.85467,-0.002031249999999929
2011-08-23,130.32811999999998,5.8527,-0.0026562500000000266
2011-08-24,129.57811999999998,5.84708,-0.007500000000000062
2011-08-25,129.98438000000002,5.850140000000001,0.00406250000000008
2011-08-26,130.28125,5.85234,0.0029687499999999645
2011-08-29,129.71875,5.84818,-0.005624999999999991
2011-08-30,130.39061999999998,5.8531699999999995,0.006718750000000107
2011-08-31,130.03125,5.85055,-0.003593750000000062
2011-09-01,130.60938000000002,5.85476,0.005624999999999991
2011-09-02,131.29688000000002,5.85958,0.00765624999999992
2011-09-06,131.21875,5.85916,-0.0006250000000000977
2011-09-07,130.89061999999998,5.8567,-0.0034374999999999822
2011-09-08,131.23438000000002,5.85921,0.00374999999999992
2011-09-09,131.76561999999998,5.86316,0.005624999999999991
2011-09-12,131.46875,5.86095,-0.0029687499999999645
2011-09-13,131.0625,5.85798,-0.00406250000000008
2011-09-14,130.89061999999998,5.8567800000000005,-0.0017187499999999911
2011-09-15,130.40625,5.853269999999999,-0.005312500000000053
2011-09-16,130.48438000000002,5.85379,0.0007812499999999556
2011-09-19,131.42188000000002,5.860530000000001,0.009843749999999929
2011-09-20,131.34375,5.86011,-0.0007812499999999556
2011-09-21,130.75,5.841069999999999,0.0028125000000001066
2011-09-22,131.75,5.84846,0.010000000000000009
2011-09-23,130.96875,5.842630000000001,-0.0078125
2011-09-26,130.34375,5.838080000000001,-0.006250000000000089
2011-09-27,129.5625,5.832330000000001,-0.0078125
2011-09-28,129.67188000000002,5.8332,0.0010937499999998934
2011-09-29,129.98438000000002,5.8355,0.0031250000000000444
2011-09-30,130.09375,5.83615,0.0010937499999998934
2011-10-03,130.98438000000002,5.84293,0.008906249999999893
2011-10-04,130.95311999999998,5.84276,-0.00031249999999993783
2011-10-05,130.10938000000002,5.8364,-0.008437500000000098
2011-10-06,129.51561999999998,5.83207,-0.005937499999999929
2011-10-07,128.89061999999998,5.82733,-0.006250000000000089
2011-10-11,128.23438000000002,5.82256,-0.006562500000000027
2011-10-12,127.92188,5.82016,-0.0031250000000000444
2011-10-13,128.4375,5.82395,0.005156249999999973
2011-10-14,128.125,5.82158,-0.0031250000000000444
2011-10-17,128.71875,5.82603,0.005937499999999929
2011-10-18,128.82811999999998,5.82678,0.0010937499999998934
2011-10-19,128.84375,5.826980000000001,0.00015625000000007994
2011-10-20,128.70311999999998,5.82589,-0.0014062500000000533
2011-10-21,128.65625,5.8255,-0.00046875000000001776
2011-10-24,128.34375,5.823230000000001,-0.0031250000000000444
2011-10-25,129.125,5.82909,0.0078125
2011-10-26,128.57811999999998,5.824990000000001,-0.005468749999999911
2011-10-27,127.3125,5.81556,-0.012656250000000036
2011-10-28,128.09375,5.8214,0.0078125
2011-10-31,129.0625,5.8288400000000005,0.009687500000000071
2011-11-01,130.25,5.83752,0.01187500000000008
2011-11-02,130.3125,5.8379900000000005,0.0006250000000000977
2011-11-03,130.04688000000002,5.83601,-0.0026562500000000266
2011-11-04,130.25,5.83746,0.002031249999999929
2011-11-07,130.54688000000002,5.83975,0.0029687499999999645
2011-11-08,130.04688000000002,5.83596,-0.004999999999999893
2011-11-09,130.8125,5.84173,0.00765624999999992
2011-11-10,130.34375,5.8383400000000005,-0.004687499999999956
2011-11-14,130.45311999999998,5.839090000000001,0.0010937500000001155
2011-11-15,130.32811999999998,5.83814,-0.0012499999999999734
2011-11-16,130.5,5.83925,0.0017187499999999911
2011-11-17,130.82811999999998,5.8419300000000005,0.0032812499999999023
2011-11-18,130.29688000000002,5.837680000000001,-0.005312500000000053
2011-11-21,130.57811999999998,5.83972,0.0028125000000001066
2011-11-22,130.79688000000002,5.84149,0.002187500000000009
2011-11-23,131.21875,5.84462,0.004218749999999938
2011-11-25,130.65625,5.84039,-0.005624999999999991
2011-11-28,130.71875,5.841,0.0006250000000000977
2011-11-29,130.46875,5.83914,-0.0024999999999999467
2011-11-30,130.15625,5.8365,-0.0031250000000000444
2011-12-01,129.98438000000002,5.83556,-0.002031249999999929
2011-12-02,130.5,5.83932,0.005312500000000053
2011-12-05,130.40625,5.83862,-0.0010937499999998934
2011-12-06,130.15625,5.83664,-0.002343750000000089
2011-12-07,130.76561999999998,5.84125,0.006406249999999947
2011-12-08,131.17188000000002,5.84428,0.00406250000000008
2011-12-09,130.64061999999998,5.84031,-0.005312500000000053
2011-12-12,131.03125,5.8431,0.003593750000000062
2011-12-13,131.3125,5.84511,0.0028125000000001066
2011-12-14,131.60938000000002,5.84724,0.0032812499999999023
2011-12-15,131.48438000000002,5.84657,-0.0009375000000000355
2011-12-16,131.95311999999998,5.84976,0.004531250000000098
2011-12-19,132.125,5.85112,0.0015624999999999112
2011-12-20,130.625,5.874140000000001,-0.007031250000000044
2011-12-21,130.42188000000002,5.872809999999999,-0.002031249999999929
2011-12-22,130.45311999999998,5.87301,0.00031249999999993783
2011-12-23,129.85938000000002,5.86871,-0.005937499999999929
2011-12-27,129.95311999999998,5.86929,0.0009375000000000355
2011-12-28,130.70311999999998,5.87474,0.007500000000000062
2011-12-29,130.84375,5.87558,0.0014062500000000533
2011-12-30,131.125,5.87795,0.0028125000000001066
2012-01-03,130.54688000000002,5.87366,-0.005781250000000071
2012-01-04,130.39061999999998,5.87247,-0.0015624999999999112
2012-01-05,130.5,5.87331,0.0010937499999998934
2012-01-06,130.75,5.8750800000000005,0.0024999999999999467
2012-01-09,130.85938000000002,5.87568,0.0010937499999998934
2012-01-10,130.71875,5.8747300000000005,-0.0014062500000000533
2012-01-11,131.20311999999998,5.87826,0.0048437500000000355
2012-01-12,130.96875,5.87659,-0.002343750000000089
2012-01-13,131.54688000000002,5.88075,0.005781250000000071
2012-01-17,131.59375,5.88112,0.00046875000000001776
2012-01-18,131.26561999999998,5.878769999999999,-0.0032812499999999023
2012-01-19,130.70311999999998,5.87479,-0.005624999999999991
2012-01-20,130.26561999999998,5.8717,-0.004375000000000018
2012-01-23,129.98438000000002,5.8696,-0.0028125000000001066
2012-01-24,130.09375,5.8703199999999995,0.0010937499999998934
2012-01-25,130.76561999999998,5.87515,0.006718750000000107
2012-01-26,131.4375,5.87994,0.006718750000000107
2012-01-27,131.71875,5.881959999999999,0.0028125000000001066
2012-01-30,132.03125,5.88419,0.0031250000000000444
2012-01-31,132.25,5.88566,0.002187500000000009
2012-02-01,131.98438000000002,5.88374,-0.0026562500000000266
2012-02-02,132.17188000000002,5.8852199999999995,0.001875000000000071
